HERE Station ID,WB TMC,EB TMC,Closest Airport,ROUTE,AADT LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014
29953,125+04861,125-04860,KRDU,I-40,FROM EXIT 285 TO EXIT 287,138000,134000,141000,147000,149000,147000,141000,140000,141000,150000,156000,159000,162000
29954,125+04867,125-04866,KRDU,I-40,FROM EXIT 279 TO EXIT 280,124000,129000,128000,134000,138000,148000,145000,153000,151000,157000,150000,146000,156000
29956,125P04836,125-17000,KJNX,I-40,FROM EXIT 306 TO EXIT 309,0,0,0,0,0,0,68000,75000,75000,77000,77000,80000,81000
29958,125+04962,125-04961,KRDU,I-40,FROM EXIT 299 TO EXIT 300,95000,96000,97000,107000,110000,110000,106000,110000,108000,110000,112000,117000,111000
29962,125P04859,125N04859,KRDU,I-40,FROM EXIT 287 TO EXIT 289,148000,141000,149000,153000,155000,153000,146000,147000,147000,157000,163000,166000,157000
29963,125P04868,125N04868,KRDU,I-40,FROM EXIT 276 TO EXIT 278,89000,93000,89000,95000,99000,113000,111000,121000,119000,117000,121000,119000,126000
29976,125+04838,125N04838,KRDU,I-40,FROM EXIT 301 TO EXIT 303,86000,86000,93000,91000,97000,99000,93000,99000,100000,103000,103000,104000,106000
29977,125+04964,125-04963,KRDU,I-40,FROM EXIT 297 TO EXIT 298,101000,104000,108000,113000,115000,115000,106000,113000,113000,113000,115000,117000,119000
29978,125+04872,125-04871,KIGX,I-40,FROM EXIT 270 TO EXIT 273,67000,68000,60000,70000,73000,83000,78000,86000,84000,85000,85000,88000,93000
29980,125+04871,125-04870,KIGX,I-40,FROM EXIT 273 TO EXIT 274,84000,88000,81000,91000,95000,108000,105000,113000,112000,110000,113000,114000,120000
29981,125+04857,125-04856,KRDU,I-40,FROM EXIT 291 TO EXIT 293,96000,96000,105000,106000,102000,102000,96000,98000,99000,105000,110000,111000,114000
29983,125+04858,125-04857,KRDU,I-40,FROM EXIT 290 TO EXIT 291,91000,92000,98000,100000,99000,99000,94000,96000,96000,103000,109000,109000,114000
29986,125+04863,125-04862,KRDU,I-40,FROM EXIT 283 TO EXIT 284,126000,125000,127000,134000,136000,134000,132000,136000,132000,141000,142000,142000,149000
29995,125+04869,125-04868,KRDU,I-40,FROM EXIT 276 TO EXIT 278,89000,93000,89000,95000,99000,113000,111000,121000,119000,117000,121000,119000,126000
29996,125+04864,125-04863,KRDU,I-40,FROM EXIT 282 TO EXIT 283,143000,144000,147000,156000,159000,163000,160000,165000,163000,174000,170000,169000,180000
31269,125P04865,125N04865,KRDU,I-40,FROM EXIT 281 TO EXIT 282,139000,140000,143000,150000,152000,159000,156000,162000,159000,169000,164000,162000,174000
